Category,Goal,Total Strikes,Weeks Tracked,First Seen,Last Seen,1/12-1/18,1/19-1/25,1/26-2/1,2/2-2/8,2/16-2/22,2/23-3/1,3/2-3/8,3/9-3/15,3/16-3/22,3/23-3/30,3/30 - 4/5,4/6 - 4/12,4/13 - 4/19,4/20 - 4/26,4/27 - 5/3,5/4 - 5/10,5/11 - 5/17,5/18 - 5/24,5/25 - 5/31,6/1 - 6/7,8/3 - 8/9,8/10 - 8/16,8/17 - 8/23,8/24 - 8/30,8/31 - 9/6,9/7 - 9/13,9/21- 9/27,9/29- 10/04,10/05- 10/12,10/11- 10/18,10/19- 10/25,10/26- 11/1,11/2- 11/8,11/9- 11/15,11/16- 11/22,11/23- 11/29,11/30- 12/26,12/7- 12/13,12/14- 12/20,12/21- 12/28,12/28- 1/3
Work,Do 4 pomadoro time blocks each day,14,41,1/12-1/18,12/28- 1/3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,2,0,0
Work,Do 90 minutes of focused do not disturb work every workday OR,13,41,1/12-1/18,12/28- 1/3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
Work,"Time block each day, intent to better plan day",12,41,1/12-1/18,12/28- 1/3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0
Monthly,2 'nice' planned date nights a month,0,41,1/12-1/18,12/28- 1/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monthly,Check-in with Chelsey on how she feels about us and what I can do as a partner,0,41,1/12-1/18,12/28- 1/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monthly,"Go to 1 networking event a month - either direct coffee, happy hour or speaker",2,41,1/12-1/18,12/28- 1/3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monthly,"Review financial health (expenses, savings)",0,41,1/12-1/18,12/28- 1/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooking,Cook 1 new meal a week,14,41,1/12-1/18,12/28- 1/3,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0
Cooking,Read 10 pages of cook book each week,20,41,1/12-1/18,12/28- 1/3,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other,Polish boots,3,10,10/26- 11/1,12/28- 1/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0
